varieties,mintcream,whitesmoke,ivory,azure,convex_perimeter,convexity,mean_r,mean_s,roughness,std_s,con_1,con_2,con_6
0,0,0.000900482,4.70E-06,0,2369.423127,0.939989268,210.7882293,12.74415745,1.063841933,16.75323007,0.238669921,0.000126961,8.23E-05
0,0,7.23E-05,0,0,2534.834651,0.927724488,212.6997432,13.95900601,1.077906224,11.64067059,0.215882252,0.002070466,0.000204567
0,0,7.02E-05,0,6.58E-06,2427.091267,0.942369372,196.6842472,19.93940989,1.061155031,11.86632007,0.15545322,0,0
0,0,4.07E-05,1.70E-06,0,2759.547088,0.937488937,209.7371067,14.64609074,1.066679255,16.11656339,0.189059209,0.001927773,0.000156122
0,0,9.50E-05,0,2.09E-05,2628.851607,0.948549426,196.5915568,18.38811605,1.054241321,11.8266139,0.151863814,0,0
0,0,0.000261182,0,1.84E-06,2707.257048,0.879014513,197.4940526,15.94069154,1.137637645,11.06588428,0.169148198,0,0
0,0,0.00035041,0,4.94E-05,2296.019469,0.939536078,199.7929153,17.53615388,1.064355083,12.44329139,0.242239167,0,0
0,0,9.78E-05,0,0,2367.6883,0.930176031,209.0158946,15.69286643,1.075065328,20.13207318,0.202478184,0.000615003,0.000123467
0,0,4.10E-05,0,0,2593.574528,0.936032558,211.1577478,15.61901211,1.068338907,16.20822518,0.182403061,0.002726891,0.000322074
0,0,7.86E-05,0,4.63E-06,2394.904623,0.900797238,197.584615,18.72335111,1.110127738,12.2561357,0.164884292,0,0
0,0,0.000132496,0,0,2541.052609,0.938227069,208.3692364,16.7031245,1.065840065,19.14593893,0.169825828,0.000459721,0.000156586
0,0,0.000171658,0,0,2636.874566,0.913271439,209.527551,13.38565999,1.094964714,15.6894765,0.205632634,0.000533836,1.00E-04
0,0,0.000249173,0,0,2479.419732,0.92658089,205.9225966,12.70475111,1.079236589,9.606264631,0.258929237,2.98E-05,2.13E-06
0,0,0.000307511,0,0,2589.485975,0.913657949,199.7539504,17.25980191,1.094501505,11.44991238,0.194270956,0,0
0,0,5.39E-05,0,0,2647.18415,0.896843043,211.1884024,14.81372296,1.115022309,16.62972281,0.195402321,0.001257133,0.000163639
0,0,0.000413981,0,0,2508.348468,0.930206706,202.1473045,10.46331897,1.075029877,8.369356254,0.207621938,3.63E-05,4.27E-06
0,0,1.44E-05,0,0,2628.21811,0.762301152,214.6983815,17.04913862,1.311817511,16.40538776,0.204685105,0.001477175,0.000332364
